status,product_area,response,justification,request_type
escalated,Security & Compliance,This request involves a sensitive matter that requires human review. I've escalated this to our support team who will contact you shortly.,This ticket contains sensitive keywords requiring human handling.,product_issue
escalated,Recruiting,I understand your frustration. Let's investigate this further. Could you please provide the specific test ID or name so I can review your submission and the scoring process?,The issue seems to be related to the scoring mechanism and the recruiter's decision.,bug
escalated,Security & Compliance,This request involves a sensitive matter that requires human review. I've escalated this to our support team who will contact you shortly.,This ticket contains sensitive keywords requiring human handling.,product_issue
replied,Mock Interview,"I understand you’re experiencing issues with your mock interviews. I’m sorry for the inconvenience. To help me resolve this for you, could you please provide your HackerRank account ID or username?",Context has HOW-TO and no risk.,product_issue
escalated,Payment,Please provide the order ID for the payment issue.,The ticket indicates a payment issue.,bug
escalated,HR,We can help you with the onboarding process for your company. Please provide more details about your specific needs and the types of skills you are looking for.,The ticket is about onboarding candidates.,product_issue
replied,Application,Please ensure you have the latest version of HackerRank installed.,Context has instructions.,product_issue
escalated,bug,context has HOW-TO and no risk,Defaulting to safe handling.,bug
escalated,Compatibility,Please contact support for assistance with the blocker while doing compatible check all the criterias are matching other than zoom connectivity.,Defaulting to safe handling.,bug
replied,Assessment,I understand your request and will do my best to assist you in rescheduling your assessment. Please provide the details of your assessment and the desired new date and time.,Context has HOW-TO and no risk.,product_issue
escalated,User Experience,We understand the issue and will investigate the inactivity times and potential causes. We will escalate this to the appropriate team to determine the best solution for the candidate and interviewer experience.,Defaulting to safe handling.,bug
replied,Account,Click Continue.,Context has instructions.,product_issue
replied,Interview,You can remove an interviewer from the platform by going to Interviews > Templates and clicking the 'More options (⋮)' menu next to the template and selecting 'Share'.,The context provides the steps to remove an interviewer from a template.,product_issue
replied,Subscription,Please resume your subscription.,Context has HOW-TO and no risk.,product_issue
escalated,Claude,"Claude has stopped working completely, all requests are failing.","The user is experiencing a complete failure, indicating a significant issue with the Claude service.",bug
escalated,Consumer,"I understand you’ve been affected by identity theft. This is a serious situation and requires immediate attention. We need to immediately initiate a fraud investigation and secure your account. Please provide as much detail as possible about the incident, including the date and time of the contact, the person’s name, and any details about the scam. We will guide you through the necessary steps to protect your account and investigate the incident.",The context indicates a potential security breach and requires urgent action to mitigate potential damage.,product_issue
replied,Product,Resume Builder is Down.,Request type is bug.,bug
replied,Account,Please contact HackerRank support to update your certificate.,Context has HOW-TO and no risk.,product_issue
replied,Account,"To dispute a charge, contact your card issuer. They will review the transaction and determine if it’s a legitimate charge. You’ll need to provide documentation to support your claim.",Context has HOW-TO and no risk.,product_issue
escalated,Security & Compliance,This request involves a sensitive matter that requires human review. I've escalated this to our support team who will contact you shortly.,This ticket contains sensitive keywords requiring human handling.,product_issue
escalated,Website,Please contact Claude’s support team.,The user is requesting a modification to Claude’s behavior.,bug
escalated,CashWithdrawal,Please withdraw cash immediately.,The customer needs urgent cash and lacks the necessary funds.,product_issue
escalated,Privacy,"We understand your concern about data retention. Claude’s data retention policy is designed to protect your privacy and ensure the ongoing development of our models. Data is retained for up to two years, and data used for model training will not be associated with other customer information. You can find more details about our data retention policy here: [https://privacy.claude.com/en/collections/10663362-consumers](https://privacy.claude.com/en/collections/10663362-consumers)",Defaulting to safe handling.,product_issue
escalated,Security & Compliance,This request involves a sensitive matter that requires human review. I've escalated this to our support team who will contact you shortly.,This ticket contains sensitive keywords requiring human handling.,product_issue
escalated,Security & Compliance,This request involves a sensitive matter that requires human review. I've escalated this to our support team who will contact you shortly.,This ticket contains sensitive keywords requiring human handling.,product_issue
escalated,Bug,Please provide more details about the specific issues you are encountering.,Context has a bug report.,bug
escalated,Hiring,Please provide more context regarding the employee's departure.,The issue is related to an employee leaving.,product_issue
replied,Education,"I understand you’re a professor in a college and want to set up a Claude LTI key for your students.  I can help you with that. To proceed, I need a little more information. Could you please provide the following: 1. The name of the college you’re affiliated with? 2. The specific Canvas by Instructure project or course where you’d like to use the Claude LTI key? 3. What is the purpose of this Claude LTI key? (e.g., for assignments, research, etc.)  Once I have this information, I can guide you through the setup process.",Context has a ticket and no risk.,product_issue
escalated,merchant_compliance,I understand your concern. Merchant requirements for minimum transaction amounts can be complex and vary by location. I’m escalating this to our legal team to investigate the specific situation in the US Virgin Islands. Please allow 24-48 hours for them to respond.,The context indicates a potential issue with merchant compliance and requires immediate attention.,product_issue
